This document is best viewed on desktops and laptops. Copyright Michael Simmons 2017-2019. All Right Reserved.																												
Master one mental model per month starting with the most useful and universals models at http://www.mentalmodelclub.com									Jeff Bezos	Dave McClure	Andy Rachleff	Balaji S. Srinivasan	Paul Graham	Frank Robinson	Ray Dalio	 Robert Metcalfe	Thucydides	Adam Smith	Clayton Christenson	James Clear	Shane Parrish	Gabriel Weinberg	Scott Page	Charlie Munger	Daniel Dennett 	Jack Barker	Hiten Shah	Brandon Chu
	Alloying	When we combine various elements, we create new substances. This is no great surprise, but what can be surprising in the alloying process is that 2+2 can equal not 4 but 6 – the alloy can be far stronger than the simple addition of the underlying elements would lead us to believe. This process leads us to engineering great physical objects, but we understand many intangibles in the same way; a combination of the right elements in social systems or even individuals can create a 2+2=6 effect similar to alloying.	Shane Parrish's Farnam Street Mental Model Guide					1													1							
	Critical Mass 	“The smallest amount of fissile material needed for a sustained nuclear chain reaction.” “In social dynamics, critical mass is a sufficient number of adopters of an innovation in a social system so that the rate of adoption becomes self-sustaining and creates further growth.” - Gabriel Weinberg  "A critical mass is the smallest amount of fissile material needed for a sustained nuclear chain reaction. The critical mass of a fissionable material depends upon its nuclear properties (specifically, the nuclear fission cross-section), its density, its shape, its enrichment, its purity, its temperature, and its surroundings. The concept is important in nuclear weapon design." - Wikipedia (James Clear)	Gabriel Weinberg's Mental Models I Find Repeatedly Useful https://medium.com/@yegg/mental-models-i-find-repeatedly-useful-936f1cc405d --- James Clear Mental Models Overview https://jamesclear.com/mental-models"					2												1		1						
	Half-life	“the time required for a quantity to reduce to half its initial value. The term is commonly used in nuclear physics to describe how quickly unstable atoms undergo, or how long stable atoms survive, radioactive decay.” (related: viral marketing)	Gabriel Weinberg's Mental Models I Find Repeatedly Useful					1														1						
	Heisenberg Uncertainty Principle	 “A fundamental limit to the precision with which certain pairs of physical properties of a particle, known as complementary variables, such as position x and momentum p, can be known.”	Gabriel Weinberg's Mental Models I Find Repeatedly Useful					1														1						
Biological World	Incentives	All creatures respond to incentives to keep themselves alive. This is the basic insight of biology. Constant incentives will tend to cause a biological entity to have constant behavior, to an extent. Humans are included and are particularly great examples of the incentive-driven nature of biology; however, humans are complicated in that their incentives can be hidden or intangible. The rule of life is to repeat what works and has been rewarded. - Shane Parrish  Negotiating: “Something that motivates an individual to perform an action.” (related: carrot and stick — “a policy of offering a combination of rewards and punishment to induce behavior.”) - Gabriel Weinberg  Business - Economics: "An incentive is something that motivates an individual to perform an action. The study of incentive structures is central to the study of all economic activities (both in terms of individual decision-making and in terms of co-operation and competition within a larger institutional structure). Economic analysis, then, of the differences between societies (and between different organizations within a society) largely amounts to characterizing the differences in incentive structures faced by individuals involved in these collective efforts. Ultimately, incentives aim to provide value for money and contribute to organizational success. As such the design of incentive systems is a key management activity." - Wikipedia (James Clear)	Shane Parrish's Farnam Street Mental Model Guide https://www.farnamstreetblog.com/mental-models/  --- Gabriel Weinberg's Mental Models I Find Repeatedly Useful https://medium.com/@yegg/mental-models-i-find-repeatedly-useful-936f1cc405d"  --- James Clear Mental Models Overview https://jamesclear.com/mental-models					3												1	1	1						
	Cooperation (Including Symbiosis)	Competition tends to describe most biological systems, but cooperation at various levels is just as important a dynamic. In fact, the cooperation of a bacterium and a simple cell probably created the first complex cell and all of the life we see around us. Without cooperation, no group survives, and the cooperation of groups gives rise to even more complex versions of organization. Cooperation and competition tend to coexist at multiple levels.	Shane Parrish's Farnam Street Mental Model Guide					1													1							
	Tendency to Minimize Energy Output (Mental & Physical)	In a physical world governed by thermodynamics and competition for limited energy and resources, any biological organism that was wasteful with energy would be at a severe disadvantage for survival. Thus, we see in most instances that behavior is governed by a tendency to minimize energy usage when at all possible.	Shane Parrish's Farnam Street Mental Model Guide					1													1							
	Adaptation	Species tend to adapt to their surroundings in order to survive, given the combination of their genetics and their environment – an always-unavoidable combination. However, adaptations made in an individual's lifetime are not passed down genetically, as was once thought: Populations of species adapt through the process of evolution by natural selection, as the most-fit examples of the species replicate at an above-average rate.	Shane Parrish's Farnam Street Mental Model Guide					1													1							
	Evolution by Natural Selection	Evolution by natural selection was once called “the greatest idea anyone ever had.” In the 19th century, Charles Darwin and Alfred Russel Wallace simultaneous realized that species evolve through random mutation and differential survival rates. If we call human intervention in animal-breeding an example of “artificial selection,” we can call Mother Nature deciding the success or failure of a particular mutation “natural selection.” Those best suited for survival tend to be preserved. But of course, conditions change. - Shane Parrish  "Natural selection is the differential survival and reproduction of individuals due to differences in phenotype. It is a key mechanism of evolution, the change in heritable traits of a population over time. Charles Darwin popularised the term "natural selection", and compared it with artificial selection...Natural selection acts on the phenotype, or the observable characteristics of an organism, but the genetic (heritable) basis of any phenotype that gives a reproductive advantage may become more common in a population. Over time, this process can result in populations that specialise for particular ecological niches (microevolution) and may eventually result in speciation (the emergence of new species, macroevolution). In other words, natural selection is a key process in the evolution of a population. Natural selection can be contrasted with artificial selection, in which humans intentionally choose specific traits, whereas in natural selection there is no intentional choice." -  Wikipedia (James Clear)  “The differential survival and reproduction of individuals due to differences in phenotype. It is a key mechanism of evolution, the change in heritable traits of a population over time.” - Gabriel Weinberg	Shane Parrish's Farnam Street Mental Model Guide https://www.farnamstreetblog.com/mental-models/  --- James Clear Mental Models Overview https://jamesclear.com/mental-models  --- Gabriel Weinberg's Mental Models I Find Repeatedly Useful https://medium.com/@yegg/mental-models-i-find-repeatedly-useful-936f1cc405d					3												1	1	1						
	The Red Queen Effect (Co-evolutionary Arms Race)	The evolution-by-natural-selection model leads to something of an arms race among species competing for limited resources. When one species evolves an advantageous adaptation, a competing species must respond in kind or fail as a species. Standing pat can mean falling behind. This arms race is called the Red Queen Effect for the character in Alice in Wonderland who said, “Now, here, you see, it takes all the running you can do, to keep in the same place.”	Shane Parrish's Farnam Street Mental Model Guide					1													1							
	Replication	A fundamental building block of diverse biological life is high-fidelity replication. The fundamental unit of replication seems to be the DNA molecule, which provides a blueprint for the offspring to be built from physical building blocks. There are a variety of replication methods, but most can be lumped into sexual and asexual.	Shane Parrish's Farnam Street Mental Model Guide					1													1							
	Hierarchical and Other Organizing Instincts	Most complex biological organisms have an innate feel for how they should organize. While not all of them end up in hierarchical structures, many do, especially in the animal kingdom. Human beings like to think they are outside of this, but they feel the hierarchical instinct as strongly as any other organism.	Shane Parrish's Farnam Street Mental Model Guide					1													1							
	Self-Preservation Instincts	Without a strong self-preservation instinct in an organism’s DNA, it would tend to disappear over time, thus eliminating that DNA. While cooperation is another important model, the self-preservation instinct is strong in all organisms and can cause violent, erratic, and/or destructive behavior for those around them.	Shane Parrish's Farnam Street Mental Model Guide					1													1							
	Simple Physiological Reward-Seeking	All organisms feel pleasure and pain from simple chemical processes in their bodies which respond predictably to the outside world. Reward-seeking is an effective survival-promoting technique on average. However, those same pleasure receptors can be co-opted to cause destructive behavior, as with drug abuse.	Shane Parrish's Farnam Street Mental Model Guide					1													1							
	Exaptation	Introduced by the biologist Steven Jay Gould, an exaptation refers to a trait developed for one purpose that is later used for another purpose. This is one way to explain the development of complex biological features like an eyeball; in a more primitive form, it may have been used for something else. Once it was there, and once it developed further, 3D sight became possible.	Shane Parrish's Farnam Street Mental Model Guide					1													1							
	Extinction	The inability to survive can cause an extinction event, whereby an entire species ceases to compete and replicate effectively. Once its numbers have dwindled to a critically low level, an extinction can be unavoidable (and predictable) given the inability to effectively replicate in large enough numbers.	Shane Parrish's Farnam Street Mental Model Guide					1													1							
	Ecosystems	An ecosystem describes any group of organisms coexisting with the natural world. Most ecosystems show diverse forms of life taking on different approaches to survival, with such pressures leading to varying behavior. Social systems can be seen in the same light as the physical ecosystems and many of the same conclusions can be made.	Shane Parrish's Farnam Street Mental Model Guide					1													1							
	Niches	Most organisms find a niche: a method of competing and behaving for survival. Usually, a species will select a niche for which it is best adapted. The danger arises when multiple species begin competing for the same niche, which can cause an extinction – there can be only so many species doing the same thing before limited resources give out.	Shane Parrish's Farnam Street Mental Model Guide					1													1							
	Dunbar’s Number	The primatologist Robin Dunbar observed through study that the number of individuals a primate can get to know and trust closely is related to the size of its neocortex. Extrapolating from his study of primates, Dunbar theorized that the Dunbar number for a human being is somewhere in the 100–250 range, which is supported by certain studies of human behavior and social networks. - Shane Parrish  Managing: “A suggested cognitive limit to the number of people with whom one can maintain stable social relationships..with a commonly used value of 150.” - Gabriel Weinberg	Shane Parrish's Farnam Street Mental Model Guide https://www.farnamstreetblog.com/mental-models/  --- Gabriel Weinberg's Mental Models I Find Repeatedly Useful https://medium.com/@yegg/mental-models-i-find-repeatedly-useful-936f1cc405d"					2													1	1						
Microeconomics & Competing	Opportunity Costs	Doing one thing means not being able to do another. We live in a world of trade-offs, and the concept of opportunity cost rules all. Most aptly summarized as “there is no such thing as a free lunch.” - Shane Parrish   “The value of the best alternative forgone where, given limited resources, a choice needs to be made between several mutually exclusive alternatives. Assuming the best choice is made, it is the ‘cost’ incurred by not enjoying the benefit that would have been had by taking the second best available choice.” (related: cost of capital) - Gabriel Weinberg	Shane Parrish's Farnam Street Mental Model Guide https://www.farnamstreetblog.com/mental-models/  --- Gabriel Weinberg's Mental Models I Find Repeatedly Useful https://medium.com/@yegg/mental-models-i-find-repeatedly-useful-936f1cc405d					2													1	1						
	Creative Destruction	Coined by economist Joseph Schumpeter, the term “creative destruction” describes the capitalistic process at work in a functioning free-market system. Motivated by personal incentives (including but not limited to financial profit), entrepreneurs will push to best one another in a never-ending game of creative one-upmanship, in the process destroying old ideas and replacing them with newer technology. Beware getting left behind. - Shane Parrish  Competing: “Process of industrial mutation that incessantly revolutionizes the economic structure from within, incessantly destroying the old one, incessantly creating a new one.” (related: Software is Eating the World — “in many industries, new software ideas will result in the rise of new Silicon Valley-style start-ups that invade existing industries with impunity.”) - Gabriel Weinberg	Shane Parrish's Farnam Street Mental Model Guide https://www.farnamstreetblog.com/mental-models/  --- Gabriel Weinberg's Mental Models I Find Repeatedly Useful https://medium.com/@yegg/mental-models-i-find-repeatedly-useful-936f1cc405d					2													1	1						
	Comparative Advantage	The Scottish economist David Ricardo had an unusual and non-intuitive insight: Two individuals, firms, or countries could benefit from trading with one another even if one of them was better at everything. Comparative advantage is best seen as an applied opportunity cost: If it has the opportunity to trade, an entity gives up free gains in productivity by not focusing on what it does best. - Shane Parrish  Competing:  “An agent has a comparative advantage over another in producing a particular good if they can produce that good at a lower relative opportunity cost or autarky price, i.e. at a lower relative marginal cost prior to trade.” - Gabriel Weinberg  Business - Economics: "The theory of comparative advantage is an economic theory about the work gains from trade for individuals, firms, or nations that arise from differences in their factor endowments or technological progress. In an economic model, agents have a comparative advantage over others in producing a particular good if they can produce that good at a lower relative opportunity cost or autarky price, i.e. at a lower relative marginal cost prior to trade. One does not compare the monetary costs of production or even the resource costs (labor needed per unit of output) of production. Instead, one must compare the opportunity costs of producing goods across countries. The closely related law or principle of comparative advantage holds that under free trade, an agent will produce more of and consume less of a good for which they have a comparative advantage." - Wikipedia (Gabriel Weinberg)	Shane Parrish's Farnam Street Mental Model Guide https://www.farnamstreetblog.com/mental-models/  --- Gabriel Weinberg's Mental Models I Find Repeatedly Useful https://medium.com/@yegg/mental-models-i-find-repeatedly-useful-936f1cc405d --- James Clear Mental Models Overview https://jamesclear.com/mental-models					3												1	1	1						
	Specialization (Pin Factory)	Another Scottish economist, Adam Smith, highlighted the advantages gained in a free-market system by specialization. Rather than having a group of workers each producing an entire item from start to finish, Smith explained that it’s usually far more productive to have each of them specialize in one aspect of production. He also cautioned, however, that each worker might not enjoy such a life; this is a trade-off of the specialization model.	Shane Parrish's Farnam Street Mental Model Guide					1													1							
	Seizing the Middle	In chess, the winning strategy is usually to seize control of the middle of the board, so as to maximize the potential moves that can be made and control the movement of the maximal number of pieces. The same strategy works profitably in business, as can be demonstrated by John D. Rockefeller’s control of the refinery business in the early days of the oil trade and Microsoft’s control of the operating system in the early days of the software trade.	Shane Parrish's Farnam Street Mental Model Guide					1													1							
	Trademarks, Patents, and Copyrights	These three concepts, along with other related ones, protect the creative work produced by enterprising individuals, thus creating additional incentives for creativity and promoting the creative-destruction model of capitalism. Without these protections, information and creative workers have no defense against their work being freely distributed.	Shane Parrish's Farnam Street Mental Model Guide					1													1							
	Double-Entry Bookkeeping	One of the marvels of modern capitalism has been the bookkeeping system introduced in Genoa in the 14th century. The double-entry system requires that every entry, such as income, also be entered into another corresponding account. Correct double-entry bookkeeping acts as a check on potential accounting errors and allows for accurate records and thus, more accurate behavior by the owner of a firm.	Shane Parrish's Farnam Street Mental Model Guide					1													1							
	Utility (Marginal, Diminishing, Increasing)	The usefulness of additional units of any good tends to vary with scale. Marginal utility allows us to understand the value of one additional unit, and in most practical areas of life, that utility diminishes at some point. On the other hand, in some cases, additional units are subject to a “critical point” where the utility function jumps discretely up or down. As an example, giving water to a thirsty man has diminishing marginal utility with each additional unit, and can eventually kill him with enough units.	Shane Parrish's Farnam Street Mental Model Guide					1													1							
	Bottlenecks	A bottleneck describes the place at which a flow (of a tangible or intangible) is stopped, thus holding it back from continuous movement. As with a clogged artery or a blocked drain, a bottleneck in production of any good or service can be small but have a disproportionate impact if it is in the critical path.	Shane Parrish's Farnam Street Mental Model Guide					1													1							
	Prisoner’s Dilemma	The Prisoner’s Dilemma is a famous application of game theory in which two prisoners are both better off cooperating with each other, but if one of them cheats, the other is better off cheating. Thus the dilemma. This model shows up in economic life, in war, and in many other areas of practical human life. Though the prisoner’s dilemma theoretically leads to a poor result, in the real world, cooperation is nearly always possible and must be explored.	Shane Parrish's Farnam Street Mental Model Guide					1													1							
	Bribery	Often ignored in mainstream economics, the concept of bribery is central to human systems: Given the chance, it is often easier to pay a certain agent to look the other way than to follow the rules. The enforcer of the rules is then neutralized. This principle/agent problem can be seen as a form of arbitrage.	Shane Parrish's Farnam Street Mental Model Guide					1													1							
	Arbitrage	Given two markets selling an identical good, an arbitrage exists if the good can profitably be bought in one market and sold at a profit in the other. This model is simple on its face, but can present itself in disguised forms: The only gas station in a 50-mile radius is also an arbitrage as it can buy gasoline and sell it at the desired profit (temporarily) without interference. Nearly all arbitrage situations eventually disappear as they are discovered and exploited.	Shane Parrish's Farnam Street Mental Model Guide					1													1							
	Supply and Demand	The basic equation of biological and economic life is one of limited supply of necessary goods and competition for those goods. Just as biological entities compete for limited usable energy, so too do economic entities compete for limited customer wealth and limited demand for their products. The point at which supply and demand for a given good are equal is called an equilibrium; however, in practical life, equilibrium points tend to be dynamic and changing, never static. - Shane Parrish  Competing: “An economic model of price determination in a market. It concludes that in a competitive market, the unit price for a particular good, or other traded item such as labor or liquid financial assets, will vary until it settles at a point where the quantity demanded (at the current price) will equal the quantity supplied (at the current price), resulting in an economic equilibrium for price and quantity transacted.” (related: perfect competition; arbitrage — “the practice of taking advantage of a price difference between two or more markets.”) - Gabriel Weinberg  Business and Economincs: "In microeconomics, supply and demand is an economic model of price determination in a market. It postulates that in a competitive market, the unit price for a particular good, or other traded item such as labor or liquid financial assets, will vary until it settles at a point where the quantity demanded (at the current price) will equal the quantity supplied (at the current price), resulting in an economic equilibrium for price and quantity transacted." - Wikipedia (James Clear)	Shane Parrish's Farnam Street Mental Model Guide https://www.farnamstreetblog.com/mental-models/  --- Gabriel Weinberg's Mental Models I Find Repeatedly Useful https://medium.com/@yegg/mental-models-i-find-repeatedly-useful-936f1cc405d  --- James Clear Mental Models Overview https://jamesclear.com/mental-models					3												1	1	1						
	Scarcity	Game theory describes situations of conflict, limited resources, and competition. Given a certain situation and a limited amount of resources and time, what decisions are competitors likely to make, and which should they make? One important note is that traditional game theory may describe humans as more rational than they really are. Game theory is theory, after all. - Shane Parrish  Business - Economics: "Scarcity refers to the limited availability of a commodity, which may be in demand in the market. The concept of scarcity also includes an individual capacity to buy all or some of the commodities as per the available resources with that individual" - Wikipedia (James Clear)	Shane Parrish's Farnam Street Mental Model Guide https://www.farnamstreetblog.com/mental-models/  --- James Clear Mental Models Overview https://jamesclear.com/mental-models					2												1	1							
	Winner Take All Market	A market that tends towards one dominant player. (related: lock-in; monopoly; monopsony)	Gabriel Weinberg's Mental Models I Find Repeatedly Useful					1														1						
	Two-sided Market 	“Economic platforms having two distinct user groups that provide each other with network benefits.”	Gabriel Weinberg's Mental Models I Find Repeatedly Useful					1														1						
	Barriers to Entry	“A cost that must be incurred by a new entrant into a market that incumbents don’t or haven’t had to incur.”	Gabriel Weinberg's Mental Models I Find Repeatedly Useful					1														1						
	Price Elasticity	“The measurement of how responsive an economic variable is to a change in another. It gives answers to questions such as ‘If I lower the price of a product, how much more will sell?’” (related: Giffen good — “a product that people consume more of as the price rises and vice versa.”)	Gabriel Weinberg's Mental Models I Find Repeatedly Useful					1														1						
	Market Power 	“The ability of a firm to profitably raise the market price of a good or service over marginal cost.”	Gabriel Weinberg's Mental Models I Find Repeatedly Useful					1														1						
	Conspicuous Consumption	“The spending of money on and the acquiring of luxury goods and services to publicly display economic power.” (related: Veblen goods — “types of luxury goods, such as expensive wines, jewelry, fashion-designer handbags, and luxury cars, which are in demand because of the high prices asked for them.”)	Gabriel Weinberg's Mental Models I Find Repeatedly Useful					1														1						
	First-mover advantage vs First-mover disadvantage	“the advantage gained by the initial (“first-moving”) significant occupant of a market segment.” (related: Why now?)	Gabriel Weinberg's Mental Models I Find Repeatedly Useful					1														1						
Military	Seeing the Front	One of the most valuable military tactics is the habit of “personally seeing the front” before making decisions – not always relying on advisors, maps, and reports, all of which can be either faulty or biased. The Map/Territory model illustrates the problem with not seeing the front, as does the incentive model. Leaders of any organization can generally benefit from seeing the front, as not only does it provide firsthand information, but it also tends to improve the quality of secondhand information.	Shane Parrish's Farnam Street Mental Model Guide					1													1							
	Asymmetric Warfare	The asymmetry model leads to an application in warfare whereby one side seemingly “plays by different rules” than the other side due to circumstance. Generally, this model is applied by an insurgency with limited resources. Unable to out-muscle their opponents, asymmetric fighters use other tactics, as with terrorism creating fear that's disproportionate to their actual destructive ability.	Shane Parrish's Farnam Street Mental Model Guide					1													1							
	Two-Front War	The Second World War was a good example of a two-front war. Once Russia and Germany became enemies, Germany was forced to split its troops and send them to separate fronts, weakening their impact on either front. In practical life, opening a two-front war can often be a useful tactic, as can solving a two-front war or avoiding one, as in the example of an organization tamping down internal discord to focus on its competitors. - Shane Parrish  “A war in which fighting takes place on two geographically separate fronts.” - Gabriel Weinberg	Shane Parrish's Farnam Street Mental Model Guide https://www.farnamstreetblog.com/mental-models/  --- Gabriel Weinberg's Mental Models I Find Repeatedly Useful https://medium.com/@yegg/mental-models-i-find-repeatedly-useful-936f1cc405d					2													1	1						
	Counterinsurgency	Though asymmetric insurgent warfare can be extremely effective, over time competitors have also developed counterinsurgency strategies. Recently and famously, General David Petraeus of the United States led the development of counterinsurgency plans that involved no additional force but substantial additional gains. Tit-for-tat warfare or competition will often lead to a feedback loop that demands insurgency and counterinsurgency.	Shane Parrish's Farnam Street Mental Model Guide					1													1							
	Mutually Assured Destruction	Somewhat paradoxically, the stronger two opponents become, the less likely they may be to destroy one another. This process of mutually assured destruction occurs not just in warfare, as with the development of global nuclear warheads, but also in business, as with the avoidance of destructive price wars between competitors. However, in a fat-tailed world, it is also possible that mutually assured destruction scenarios simply make destruction more severe in the event of a mistake (pushing destruction into the “tails” of the distribution). - Shane Parrish    “In which a full-scale use of nuclear weapons by two or more opposing sides would cause the complete annihilation of both the attacker and the defender. It is based on the theory of deterrence, which holds that the threat of using strong weapons against the enemy prevents.” (related: Mexican standoff, Zugzwang) - Gabriel Weinberg	Shane Parrish's Farnam Street Mental Model Guide https://www.farnamstreetblog.com/mental-models/  --- Gabriel Weinberg's Mental Models I Find Repeatedly Useful https://medium.com/@yegg/mental-models-i-find-repeatedly-useful-936f1cc405d					2													1	1						
	Guerilla warfare	 “a form of irregular warfare in which a small group of combatants such as paramilitary personnel, armed civilians, or irregulars use military tactics including ambushes, sabotage, raids, petty warfare, hit-and-run tactics, and mobility to fight a larger and less-mobile traditional military.” (related: asymmetric warfare; “Punch above your weight.”)	Gabriel Weinberg's Mental Models I Find Repeatedly Useful					1														1						
	Flypaper Theory	“The idea that it is desirable to draw enemies to a single area, where it is easier to kill them and they are far from one’s own vulnerabilities.” (related: honeypot)	Gabriel Weinberg's Mental Models I Find Repeatedly Useful					1														1						
	Fighting the Last War	Using strategies and tactics that worked successfully in the past, but are no longer as useful.	Gabriel Weinberg's Mental Models I Find Repeatedly Useful					1														1						
	Rumsfeld’s Rule	“You go to war with the Army you have. They’re not the Army you might want or wish to have at a later time.” (related: Joy’s law — “no matter who you are, most of the smartest people work for someone else.”; Effectuation)	Gabriel Weinberg's Mental Models I Find Repeatedly Useful					1														1						
	Trojan Horse	“After a fruitless 10-year siege, the Greeks constructed a huge wooden horse, and hid a select force of men inside. The Greeks pretended to sail away, and the Trojans pulled the horse into their city as a victory trophy. That night the Greek force crept out of the horse and opened the gates for the rest of the Greek army, which had sailed back under cover of night. The Greeks entered and destroyed.”	Gabriel Weinberg's Mental Models I Find Repeatedly Useful					1														1						
	Empty Fort Strategy 	“Involves using reverse psychology (and luck) to deceive the enemy into thinking that an empty location is full of traps and ambushes, and therefore induce the enemy to retreat.” (related: Potemkin village — “any construction (literal or figurative) built solely to deceive others into thinking that a situation is better than it really is.”; vaporware — “a product, typically computer hardware or software, that is announced to the general public but is never actually manufactured nor officially cancelled.”)	Gabriel Weinberg's Mental Models I Find Repeatedly Useful					1														1						
	Exit Strategy	“A means of leaving one’s current situation, either after a predetermined objective has been achieved, or as a strategy to mitigate failure.”	Gabriel Weinberg's Mental Models I Find Repeatedly Useful					1														1						
	Boots on the Ground	“The belief that military success can only be achieved through the direct physical presence of troops in a conflict area.”	Gabriel Weinberg's Mental Models I Find Repeatedly Useful					1														1						
	Winning Hearts and Minds 	 “In which one side seeks to prevail not by the use of superior force, but by making emotional or intellectual appeals to sway supporters of the other side.”	Gabriel Weinberg's Mental Models I Find Repeatedly Useful					1														1						
	Containment	“A military strategy to stop the expansion of an enemy. It is best known as the Cold War policy of the United States and its allies to prevent the spread of communism abroad.”	Gabriel Weinberg's Mental Models I Find Repeatedly Useful					1														1						
	Appeasement	“A diplomatic policy of making political or material concessions to an enemy power in order to avoid conflict.” (related: Danegeld, extortion)	Gabriel Weinberg's Mental Models I Find Repeatedly Useful					1														1						
	Winning a Battle but Losing the War	“A poor strategy that wins a lesser (or sub-) objective but overlooks and loses the true intended objective.” (related: sacrifice play)	Gabriel Weinberg's Mental Models I Find Repeatedly Useful					1														1						
	Beachhead 	 “A temporary line created when a military unit reaches a landing beach by sea and begins to defend the area while other reinforcements help out until a unit large enough to begin advancing has arrived.”	Gabriel Weinberg's Mental Models I Find Repeatedly Useful					1														1						
	Attrition warfare	 “a military strategy in which a belligerent attempts to win a war by wearing down the enemy to the point of collapse through continuous losses in personnel and material.”	Gabriel Weinberg's Mental Models I Find Repeatedly Useful					1														1						
Sorting	2 - 2 - Schelling's Segregation Model	"In 1971, the American economist Thomas Schelling created an agent-based model that might help explain why segregation is so difficult to combat. His model of segregation showed that even when individuals (or "agents") didn't mind being surrounded or living by agents of a different race, they would still choose to segregate themselves from other agents over time! Although the model is quite simple, it gives a fascinating look at how individuals might self-segregate, even when they have no explicit desire to do so." - Harding University Computer Science Department	Scott Page Model Thinking MOOC Course					1															1					
	2 - 4 - Peer Effects	"These sort of contagion phenomena that happened [inaudible] pure effects. That sometimes. The tail wags the dog. What do I mean by that. What I mean is that sometimes. The people at the end of distribution. The extremists. Are the ones that really drive what happens. And as a result. That means it's gonna be incredibly difficult to predict what's gonna go on. " - Transcript from Scott Page Coursera	Scott Page Model Thinking MOOC Course					1															1					
	2 - 5 - The Standing Ovation Model	"Now this is a model that builds off the [inaudible] model it's just really an extension. But it can allow us to sort of think about threshold based models of participation and pure effects in a little more subtle ways. Why standing ovations, those are kind of a funny thing to study. Well here's why. Think about a standing ovation. When The performance ends, you don't have a lot of time to decide whether you are going to stand up or not. You gotta make sort of a fairly quick judgment. You're going to clap of course but then you gotta decide do I stand or do I not stand. And then after the standing ovation either starts or doesn't start you gotta make another decision, do I stand up, do I follow these people, or do I you know stay sitting. So when you think about human behavior there's going to be different models that we play with throughout the course about how humans act. One model will be that people are optimizing, that they make rational choices in all setting. When it comes [inaudible] of a standing ovations that is probably a difficult thing to do because it is all happening so fast. So instead, what people probably do is they follow rules. "- Transcript from Scott Page Coursera	Scott Page Model Thinking MOOC Course					1															1					
	2 - 6 - The Identification Problem - The Big Sort: Why the Clustering of Like-Minded America is Tearing Us Apart	"Synopsis of Big Sort: Bill Bishop claims that we are increasingly self-sorting ourselves into neighborhoods politically and only associating with like-minded political neighbors with all kinds of horrible consequences.   Much of Bishop and Cushing’s evidence about the corrosive effect comes from psycho-sociological experiments like Asch’s where group pressure causes people to behave immorally (a la Lord of the Flies or the Stanford Prison Experiment), or to censure their own dissonant voice even when they originally believed those views to be  correct. [Note: Fiorina has made quite a name for himself on how the political elites in America have become ever more polarized and the masses have over time sorted themselves out more reliably into political parties but the masses views’ have not become any more extreme, so obviously the Big Sort doesn’t square with his other research that uses ongoing surveys like the General Social Survey, the American National Election Studies, etc.]  There is a wonderful cartoon that the New York Times did about the Big Sort." -Social Capital Blog 	Scott Page Model Thinking MOOC Course					1															1					
Aggregation	3 2 Central Limit Theorem	"The central limit theorem (CLT) is a statistical theory that states that given a sufficiently large sample size from a population with a finite level of variance, the mean of all samples from the same population will be approximately equal to the mean of the population. Furthermore, all of the samples will follow an approximate normal distribution pattern, with all variances being approximately equal to the variance of the population divided by each sample's size." - Investopedia	Scott Page Model Thinking MOOC Course					1															1					
	3 3 Six Sigma	"Six Sigma (6σ) is a set of techniques and tools for process improvement. It was introduced by engineers Bill Smith & Mikel J Harry while working at Motorola in 1986.[1][2] Jack Welch made it central to his business strategy at General Electric in 1995. It seeks to improve the quality of the output of a process by identifying and removing the causes of defects and minimizing variability in manufacturing and business processes. It uses a set of quality management methods, mainly empirical, statistical methods, and creates a special infrastructure of people within the organization who are experts in these methods. Each Six Sigma project carried out within an organization follows a defined sequence of steps and has specific value targets, for example: reduce process cycle time, reduce pollution, reduce costs, increase customer satisfaction, and increase profits." -Wikipededia	Scott Page Model Thinking MOOC Course					1															1					
	3 5 Cellular Automata	"A cellular automaton (pl. cellular automata, abbrev. CA) is a discrete model studied in computability theory, mathematics, physics, complexity science, theoretical biology and microstructure modeling. Cellular automata are also called cellular spaces, tessellation automata, homogeneous structures, cellular structures, tessellation structures, and iterative arrays." Wikipedia	Scott Page Model Thinking MOOC Course					1															1					
	3 6 Preference Aggregation	"At the heart of social choice theory is the analysis of preference aggregation, understood as the aggregation of several individuals' preference rankings of two or more social alternatives into a single, collective preference ranking (or choice) over these alternatives." - Stanford Encyclopedia of Philosophy	Scott Page Model Thinking MOOC Course					1															1					
Decision -Making	4 2 Multi Criterion Decision Making	"Multiple-criteria decision-making (MCDM) or multiple-criteria decision analysis (MCDA) is a sub-discipline of operations research that explicitly evaluates multiple conflicting criteria in decision making (both in daily life and in settings such as business, government and medicine). Conflicting criteria are typical in evaluating options: cost or price is usually one of the main criteria, and some measure of quality is typically another criterion, easily in conflict with the cost. In purchasing a car, cost, comfort, safety, and fuel economy may be some of the main criteria we consider – it is unusual that the cheapest car is the most comfortable and the safest one. In portfolio management, we are interested in getting high returns but at the same time reducing our risks, but the stocks that have the potential of bringing high returns typically also carry high risks of losing money. In a service industry, customer satisfaction and the cost of providing service are fundamental conflicting criteria" - Wikipedia	Scott Page Model Thinking MOOC Course					1															1					
